timestamp,open,high,low,close,volume,trades
2021-01-17,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400,0
2021-01-18,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000,0
2021-01-19,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900,0
2021-01-20,35901.94000000,36415.31000000,33400.00000000,35468.23000000,89368.42291800,0
2021-01-21,35468.23000000,35600.00000000,30071.00000000,30850.13000000,131803.18292600,0
2021-01-22,30851.99000000,33826.53000000,28850.00000000,32945.17000000,142971.68404900,0
2021-01-23,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500,0
2021-01-24,32078.00000000,33071.00000000,30900.00000000,32259.90000000,57978.03796600,0
2021-01-25,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100,0
2021-01-26,32254.19000000,32921.88000000,30837.37000000,32467.77000000,84972.20691000,0
2021-01-27,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100,0
2021-01-28,30362.19000000,33783.98000000,29842.10000000,33364.86000000,92621.14561700,0
2021-01-29,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600,0
2021-01-30,34246.28000000,34933.00000000,32825.00000000,34262.88000000,84889.68134000,0
2021-01-31,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400,0
2021-02-01,33092.97000000,34717.27000000,32296.16000000,33526.37000000,82718.27688200,0
2021-02-02,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000,0
2021-02-03,35472.71000000,37662.63000000,35362.38000000,37618.87000000,80784.33366300,0
2021-02-04,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800,0
2021-02-05,36936.65000000,38310.12000000,36570.00000000,38290.24000000,66681.33427500,0
2021-02-06,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300,0
2021-02-07,39181.01000000,39700.00000000,37351.00000000,38795.69000000,84363.67976300,0
2021-02-08,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400,0
2021-02-09,46374.86000000,48142.19000000,44961.09000000,46420.42000000,115499.86171200,0
2021-02-10,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000,0
2021-02-11,44807.58000000,48678.90000000,43994.02000000,47969.51000000,89561.08145400,0
2021-02-12,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700,0
2021-02-13,47298.15000000,48150.00000000,46202.53000000,47153.69000000,63768.09739900,0
2021-02-14,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300,0
2021-02-15,48580.47000000,49010.92000000,45570.79000000,47911.10000000,79398.15678400,0
2021-02-16,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800,0
2021-02-17,49133.45000000,52618.74000000,48947.00000000,52119.71000000,85743.63781800,0
2021-02-18,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400,0
2021-02-19,51552.61000000,56368.00000000,50710.20000000,55906.00000000,79659.77802000,0
2021-02-20,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400,0
2021-02-21,55841.19000000,58352.80000000,55477.59000000,57408.57000000,58166.70851100,0
2021-02-22,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400,0
2021-02-23,54087.67000000,54183.59000000,44892.56000000,48891.00000000,169375.02505100,0
2021-02-24,48891.00000000,51374.99000000,46988.69000000,49676.20000000,91881.20925200,0
2021-02-25,49676.21000000,52041.73000000,46674.34000000,47073.73000000,83310.67312100,0
2021-02-26,47073.73000000,48424.11000000,44106.78000000,46276.87000000,109423.20066300,0
2021-02-27,46276.88000000,48394.00000000,45000.00000000,46106.43000000,66060.83429200,0
2021-02-28,46103.67000000,46638.46000000,43000.00000000,45135.66000000,83055.36904200,0
2021-03-01,45134.11000000,49790.00000000,44950.53000000,49587.03000000,85086.11164800,0
2021-03-02,49595.76000000,50200.00000000,47047.60000000,48440.65000000,64221.06214000,0
2021-03-03,48436.61000000,52640.00000000,48100.71000000,50349.37000000,81035.91370500,0
2021-03-04,50349.37000000,51773.88000000,47500.00000000,48374.09000000,82649.71682900,0
2021-03-05,48374.09000000,49448.93000000,46300.00000000,48751.71000000,78192.49637200,0
2021-03-06,48746.81000000,49200.00000000,47070.00000000,48882.20000000,44399.23424200,0
2021-03-07,48882.20000000,51450.03000000,48882.20000000,50971.75000000,55235.02803200,0
2021-03-08,50959.11000000,52402.78000000,49274.67000000,52375.17000000,66987.35966400,0
2021-03-09,52375.18000000,54895.00000000,51789.41000000,54884.50000000,71656.73707600,0
2021-03-10,54874.67000000,57387.69000000,53005.00000000,55851.59000000,84749.23894300,0
2021-03-11,55851.59000000,58150.00000000,54272.82000000,57773.16000000,81914.81285900,0
2021-03-12,57773.15000000,58081.51000000,54962.84000000,57221.72000000,73405.40604700,0
2021-03-13,57221.72000000,61844.00000000,56078.23000000,61188.39000000,83245.09134600,0
2021-03-14,61188.38000000,61724.79000000,58966.78000000,58968.31000000,52601.05275000,0
2021-03-15,58976.08000000,60633.43000000,54600.00000000,55605.20000000,102771.42729800,0
2021-03-16,55605.20000000,56938.29000000,53271.34000000,56900.75000000,77986.69435500,0
2021-03-17,56900.74000000,58974.73000000,54123.69000000,58912.97000000,70421.62084100,0
2021-03-18,58912.97000000,60129.97000000,57023.00000000,57648.16000000,66580.40667500,0
2021-03-19,57641.00000000,59468.00000000,56270.74000000,58030.01000000,52392.65296100,0
2021-03-20,58030.01000000,59880.00000000,57820.17000000,58102.28000000,44476.94177600,0
2021-03-21,58100.02000000,58589.10000000,55450.11000000,57351.56000000,48564.47027400,0
2021-03-22,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62581.62616900,0
2021-03-23,54083.25000000,55830.90000000,53000.00000000,54340.89000000,59789.36542700,0
2021-03-24,54342.80000000,57200.00000000,51700.00000000,52303.65000000,83537.46502100,0
2021-03-25,52303.66000000,53287.00000000,50427.56000000,51293.78000000,87400.53453800,0
2021-03-26,51293.78000000,55073.46000000,51214.60000000,55025.59000000,63813.77469200,0
2021-03-27,55025.59000000,56700.36000000,53950.00000000,55817.14000000,50105.47505500,0
2021-03-28,55817.14000000,56559.75000000,54691.84000000,55777.63000000,39050.38751100,0
